total_sqft,bath,balcony,price,site_location,bedrooms
1056.0,2.0,1.0,39.07,Alandi Road,2.0
2600.0,5.0,3.0,120.0,Ambegaon Budruk,4.0
1440.0,2.0,3.0,62.0,Anandnagar,3.0
1521.0,3.0,1.0,95.0,Aundh,3.0
1200.0,2.0,1.0,51.0,Aundh Road,2.0
1170.0,2.0,1.0,38.0,Balaji Nagar,2.0
1310.0,3.0,1.0,63.25,Bhandarkar Road,3.0
1800.0,2.0,2.0,70.0,Bibvewadi,3.0
2785.0,5.0,3.0,295.0,Bopodi,4.0
1000.0,2.0,1.0,38.0,Budhwar Peth,2.0
1100.0,2.0,2.0,40.0,Bund Garden Road,2.0
2250.0,3.0,2.0,148.0,Camp,3.0
1175.0,2.0,2.0,73.5,Chandan Nagar,2.0
1180.0,3.0,2.0,48.0,Dapodi,3.0
1540.0,3.0,3.0,60.0,Deccan Gymkhana,3.0
2770.0,4.0,2.0,290.0,Dehu Road,3.0
1100.0,2.0,2.0,48.0,Dhankawadi,2.0
600.0,1.0,1.0,15.0,Dhayari Phata,1.0
1755.0,3.0,1.0,122.0,Dhole Patil Road,3.0
2800.0,5.0,2.0,380.0,Erandwane,4.0
1767.0,3.0,1.0,103.0,Fatima Nagar,3.0
510.0,1.0,0.0,25.25,Fergusson College Road,1.0
1250.0,3.0,2.0,56.0,Ganesh Peth,3.0
660.0,1.0,1.0,23.1,Ganeshkhind,2.0
1610.0,3.0,2.0,81.0,Ghorpade Peth,3.0
1151.0,2.0,2.0,48.77,other,2.0
1025.0,2.0,1.0,47.0,Gokhale Nagar,3.0
2475.0,4.0,0.0,186.0,Gultekdi,4.0
1075.0,2.0,1.0,35.0,Guruwar peth,3.0
1760.0,2.0,2.0,123.0,Hadapsar,3.0
1693.0,3.0,3.0,57.39,Hadapsar Industrial Estate,3.0
700.0,2.0,1.0,36.0,Jangali Maharaj Road,2.0
1070.0,2.0,1.0,45.5,Kalyani Nagar,2.0
1724.0,3.0,2.0,125.0,Karve Nagar,3.0
1290.0,2.0,2.0,56.12,Karve Road,3.0
1143.0,2.0,2.0,45.0,Kasba Peth,2.0
1254.0,3.0,2.0,38.0,Khadaki,3.0
600.0,1.0,0.0,38.0,Khadki,1.0
660.0,1.0,0.0,48.0,Kharadi,1.0
1330.74,2.0,2.0,91.79,Kondhwa,2.0
970.0,2.0,0.0,33.0,Kondhwa Khurd,2.0
1459.0,2.0,1.0,94.82,Koregaon Park,2.0
800.0,1.0,1.0,130.0,Kothrud,2.0
869.0,2.0,1.0,36.0,Law College Road,2.0
1270.0,2.0,1.0,50.0,Laxmi Road,2.0
1670.0,3.0,1.0,99.0,Lulla Nagar,3.0
2010.0,3.0,2.0,91.0,Mahatma Gandhi Road,3.0
1185.0,2.0,2.0,75.0,Mangalwar peth,2.0
1600.0,2.0,3.0,75.0,Manik Bagh,3.0
1200.0,2.0,2.0,44.0,Market yard,2.0
1500.0,2.0,2.0,185.0,Mukund Nagar,2.0
840.0,2.0,2.0,45.0,Nagar Road,2.0
4395.0,3.0,2.0,240.0,Nana Peth,3.0
845.0,2.0,1.0,55.0,Narayan Peth,2.0
5700.0,5.0,3.0,650.0,Narayangaon,4.0
1160.0,2.0,2.0,44.0,Navi Peth,2.0
3000.0,8.0,0.0,140.0,Padmavati,8.0
1100.0,2.0,1.0,62.0,Parvati Darshan,2.0
1140.0,2.0,3.0,43.0,Pashan,2.0
1220.0,2.0,1.0,57.0,Paud Road,2.0
1005.0,2.0,1.0,36.68,Prabhat Road,2.0
1358.0,2.0,1.0,80.58,Rasta Peth,2.0
1569.0,3.0,1.0,101.0,Raviwar Peth,3.0
1240.0,2.0,1.0,70.0,Sadashiv Peth,2.0
2089.0,3.0,2.0,140.0,Sahakar Nagar,3.0
1206.0,2.0,1.0,48.23,Salunke Vihar,2.0
1150.0,2.0,3.0,40.0,Sasson Road,2.0
2511.0,3.0,3.0,205.0,Satara Road,3.0
4400.0,6.0,3.0,250.0,Shaniwar Peth,6.0
1660.0,2.0,2.0,105.0,Shivaji Nagar,3.0
1326.0,2.0,2.0,78.0,Sinhagad Road,2.0
1325.0,2.0,2.0,60.8,Somwar Peth,3.0
1499.0,5.0,2.0,102.0,Swargate,3.0
3000.0,7.0,2.0,210.0,Tilak Road,6.0
1665.0,3.0,2.0,88.0,Uruli Devachi,3.0
708.0,2.0,2.0,37.0,Vadgaon Budruk,2.0
1060.0,2.0,2.0,58.06,Wadgaon Sheri,2.0
1000.0,2.0,2.0,70.0,Vishrant Wadi,2.0
1000.0,2.0,1.0,28.88,Wagholi,2.0
1450.0,2.0,2.0,70.0,Wakadewadi,3.0
1200.0,4.0,2.0,155.0,Wanowrie,4.0
1296.0,2.0,3.0,80.0,Warje,2.0
1540.0,3.0,2.0,90.0,Yerawada,3.0
2894.0,4.0,1.0,245.0,Alandi Road,4.0
1330.0,2.0,1.0,48.0,Ambegaon Budruk,3.0
1200.0,2.0,1.0,65.0,Anandnagar,2.0
1200.0,3.0,1.0,90.0,Aundh,3.0
2502.0,3.0,3.0,138.0,Aundh Road,3.0
650.0,1.0,1.0,17.0,Balaji Nagar,2.0
2400.0,2.0,1.0,150.0,Baner,3.0
1007.0,2.0,2.0,43.0,Baner road,2.0
1200.0,2.0,2.0,50.0,Bhandarkar Road,2.0
966.0,2.0,2.0,49.9,Bhavani Peth,2.0
1630.0,2.0,1.0,98.0,Bibvewadi,3.0
1640.0,3.0,2.0,229.0,Bopodi,3.0
782.0,2.0,2.0,55.68,Budhwar Peth,2.0
1260.0,2.0,2.0,66.78,Bund Garden Road,2.0
1800.0,3.0,3.0,120.0,Camp,3.0
1413.0,2.0,2.0,75.0,Chandan Nagar,3.0
1116.0,2.0,1.0,51.91,Dapodi,2.0
1530.0,2.0,1.0,45.9,Deccan Gymkhana,3.0
3700.0,4.0,1.0,225.0,Dehu Road,4.0
2497.0,3.0,2.0,140.0,Dhankawadi,3.0
1540.0,2.0,3.0,64.0,Dhayari Phata,3.0
1436.0,3.0,1.0,74.75,Dhole Patil Road,3.0
1100.0,2.0,2.0,75.0,Erandwane,2.0
1427.0,3.0,2.0,120.0,Fergusson College Road,3.0
2061.0,3.0,1.0,200.0,Ganesh Peth,3.0
5611.5,4.0,0.0,477.0,Ganeshkhind,4.0
2650.0,4.0,2.0,150.0,Ghorpade Peth,4.0
1282.0,2.0,2.0,68.52,Ghorpadi,3.0
1050.0,2.0,1.0,34.0,Gokhale Nagar,2.0
1600.0,3.0,2.0,65.0,Gultekdi,3.0
945.0,2.0,1.0,54.0,Guruwar peth,2.0
1500.0,2.0,1.0,78.0,Hadapsar,2.0
1870.0,3.0,3.0,110.0,Hingne Khurd,3.0
1600.0,3.0,1.0,75.0,Jangali Maharaj Road,3.0
1200.0,4.0,0.0,210.0,Karve Nagar,4.0
1535.0,3.0,2.0,83.0,Karve Road,3.0
950.0,2.0,1.0,57.0,Kasba Peth,2.0
1360.0,2.0,1.0,65.0,Katraj,2.0
1073.5,2.0,0.0,54.005,Khadaki,2.0
1280.0,3.0,1.0,50.4,Khadki,3.0
1260.0,2.0,2.0,85.05,Kharadi,3.0
3050.0,5.0,1.0,213.0,Kondhwa Budruk,5.0
1563.05,3.0,1.0,105.0,Kondhwa Khurd,3.0
1000.0,2.0,1.0,60.0,Koregaon Park,2.0
1167.0,2.0,1.0,43.76,Kothrud,2.0
4000.0,7.0,2.0,225.0,Law College Road,7.0
890.0,2.0,1.0,35.0,Lulla Nagar,2.0
1612.0,3.0,3.0,46.74,Mahatma Gandhi Road,3.0
1710.0,4.0,2.0,91.31,Manik Bagh,3.0
